% Model:              lab4.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 6 2021, 19:53
% Dimension:          2
% Nodes:              51
% Expressions:        50
% Description:        Temperature, Dependent variable u
% Length unit:        m
% X                       Y                        T (K) @ t=0              u (K) @ t=0              T (K) @ t=1              u (K) @ t=1              T (K) @ t=2              u (K) @ t=2              T (K) @ t=3              u (K) @ t=3              T (K) @ t=4              u (K) @ t=4              T (K) @ t=5              u (K) @ t=5              T (K) @ t=6              u (K) @ t=6              T (K) @ t=7              u (K) @ t=7              T (K) @ t=8              u (K) @ t=8              T (K) @ t=9              u (K) @ t=9              T (K) @ t=10             u (K) @ t=10             T (K) @ t=11             u (K) @ t=11             T (K) @ t=12             u (K) @ t=12             T (K) @ t=13             u (K) @ t=13             T (K) @ t=14             u (K) @ t=14             T (K) @ t=15             u (K) @ t=15             T (K) @ t=16             u (K) @ t=16             T (K) @ t=17             u (K) @ t=17             T (K) @ t=18             u (K) @ t=18             T (K) @ t=19             u (K) @ t=19             T (K) @ t=20             u (K) @ t=20             T (K) @ t=21             u (K) @ t=21             T (K) @ t=22             u (K) @ t=22             T (K) @ t=23             u (K) @ t=23             T (K) @ t=24             u (K) @ t=24
0.2000000000000041        0.5                      273.1503227186413        273.1503227186413        279.99191800044747       279.9919180004477        286.3206086161068        286.3206086161067        292.1718457108164        292.17184571081583       297.69809588155795       297.698095881557         302.7349682222109        302.7349682222099        307.5989116221812        307.5989116221802        312.17991005861234       312.1799100586112        316.529308057914         316.5293080579128        320.6977850112376        320.6977850112362        324.5882764917137        324.588276491712         328.4403666447179        328.44036664471605       332.0866480777359        332.0866480777337        335.5984836429607        335.59848364295834       338.93566396848325       338.9356639684806        342.1034382322146        342.1034382322118        345.10974976254903       345.1097497625459        347.95832205249445       347.9583220524913        350.64761942955556       350.64761942955255       353.1991273267889        353.19912732678586       355.6038106850576        355.60381068505444       357.876240001121         357.8762400011179        360.0223948360605        360.0223948360573        362.04138215752187       362.04138215751874       363.9524947563316        363.95249475632835
0.22000000000000394       0.5                      273.150346115775         273.15034611577505       280.49958497416145       280.49958497416156       287.3163382212196        287.3163382212192        293.63130536477354       293.63130536477263       299.6025544974382        299.6025544974369        305.0531125965977        305.05311259659635       310.31950472944675       310.3195047294453        315.2830573105077        315.2830573105062        319.9987250319238        319.9987250319222        324.51989820166176       324.51989820165994       328.74223018560974       328.7422301856075        332.92315579900355       332.92315579900105       336.882167414001         336.8821674139982        340.69621228467446       340.6962122846716        344.32133869081537       344.32133869081235       347.7632843594243        347.76328435942105       351.0304070693756        351.03040706937213       354.12631054150086       354.1263105414973        357.04956304129377       357.0495630412902        359.82286484534484       359.8228648453413        362.43667002824117       362.43667002823753       364.90660121423764       364.90660121423406       367.2390697452074        367.23906974520384       369.4331633494832        369.4331633494798        371.5097561011121        371.50975610110845
0.24000000000000382       0.5                      273.15036789931327       273.15036789931327       280.9723584999399        280.9723584999396        288.2447264906138        288.24472649061306       294.99434739901574       294.9943473990146        301.38403567601          301.3840356760083        307.22549607390613       307.22549607390425       312.8728847616269        312.872884761625         318.1995125362153        318.1995125362133        323.2635861844953        323.26358618449314       328.120678722373         328.1206787223706        332.6597444572622        332.6597444572595        337.15460122943847       337.1546012294355        341.4125237436894        341.4125237436862        345.5156674326368        345.51566743263345       349.41641245182217       349.4164124518187        353.12097538767296       353.12097538766903       356.6380406588359        356.63804065883176       359.97098033581193       359.9709803358076        363.11852527721663       363.1185252772124        366.1043823308842        366.1043823308799        368.918582287836         368.9185822878318        371.57771239043586       371.57771239043177       374.0885798485218        374.0885798485176        376.45026855426636       376.45026855426227       378.6851597449961        378.6851597449917
0.26000000000000373       0.5                      273.15038806925594       273.15038806925594       281.41017700674803       281.4101770067476        289.1052456587492        289.10524565874834       296.2596262803459        296.2596262803447        303.04025372145065       303.04025372144883       309.24886828363253       309.24886828363054       315.25483657536546       315.2548365753635        320.9241238497506        320.9241238497484        326.3178258307433        326.3178258307407        331.4931657883162        331.4931657883134        336.33299215207774       336.3329921520746        341.12601305474607       341.12601305474277       345.66818398242356       345.66818398242003       350.046485553274         350.0464855532702        354.2097078951526        354.20970789514854       358.1645362587093        358.1645362587049        361.91989474313556       361.9198947431309        365.47881385234024       365.47881385233546       368.8402447373074        368.8402447373026        372.0286987372267        372.02869873722193       375.033868338234         375.03386833822935       377.8732217590095        377.87322175900476       380.55392775174465       380.55392775174          383.07508111663486       383.0750811166302        385.4604995008031        385.4604995007982
0.28000000000000363       0.5                      273.15040662560324       273.15040662560324       281.8130058408255        281.8130058408249        289.8975370511268        289.89753705112594       297.42616068991026       297.42616068990895       304.5694909888489        304.5694909888471        311.12073386153895       311.120733861537         317.46207941736674       317.46207941736463       323.45283152005595       323.45283152005356       329.15661050972005       329.1566105097171        334.63175568685756       334.6317556868542        339.75560464999984       339.75560464999626       344.8302583688907        344.830258368887         349.6412542687587        349.6412542687548        354.2800140054492        354.28001400544497       358.6918190524672        358.69181905246285       362.88381270171135       362.88381270170674       366.8650746730806        366.86507467307587       370.63818877555826       370.6381887755534        374.2023817276024        374.20238172759736       377.5827792004681        377.58277920046294       380.7688153412332        380.7688153412281        383.77876202493826       383.77876202493314       386.62011781492527       386.6201178149201        389.29200199874833       389.29200199874316       391.8196030177616        391.81960301775626
0.30000000000000354       0.5                      273.1504235683553        273.1504235683553        282.18082567601607       282.1808256760154        290.6213605857456        290.6213605857446        298.4932536090898        298.4932536090883        305.9705001600517        305.9705001600497        312.839247100378         312.8392471003757        319.4921570590394        319.492157059037         325.78255480659504       325.7825548065922        331.776223517144         331.77622351714064       337.53208397051594       337.5320839705122        342.9225516611994        342.9225516611954        348.2616386312746        348.2616386312703        353.3253549036009        353.32535490359646       358.20918349951523       358.2091834995107        362.8549815450222        362.8549815450175        367.27033936733574       367.27033936733085       371.4644133073172        371.46441330731216       375.4392431747793        375.4392431747739        379.194382521168         379.1943825211625        382.7553989847404        382.7553989847349        386.1115408565114        386.1115408565059        389.2818150439325        389.281815043927         392.2740217590315        392.2740217590259        395.0873166639878        395.0873166639821        397.74820007298496       397.748200072979
0.32000000000000345       0.5                      273.1504388975116        273.1504388975116        282.5136258358849        282.5136258358842        291.2765596904051        291.27655969040404       299.46043379111796       299.46043379111643       307.24243122381296       307.24243122381085       314.4031319058601        314.4031319058577        321.3433529464726        321.34335294646996       327.9111027740469        327.9111027740439        334.173971770103         334.17397177009934       340.1909282542279        340.19092825422393       345.83003977543734       345.83003977543314       351.41578398737795       351.4157839873736        356.7155105449082        356.7155105449037        361.82839423322514       361.8283942332206        366.69295513189957       366.69295513189473       371.31721920664467       371.3172192066396        375.710347747182         375.71034774717674       379.8737503506971        379.87375035069147       383.8073529403019        383.80735294029614       387.53701647129526       387.5370164712894        391.0518658889438        391.0518658889379        394.3715854194321        394.37158541942614       397.5042532384568        397.5042532384507        400.44907103995354       400.44907103994746       403.23380004237634       403.2338000423701
0.34000000000000336       0.5                      273.15045261307284       273.15045261307284       282.81140050027545       282.81140050027483       291.86303775424267       291.8630377542417        300.3274154143061        300.3274154143045        308.3847810090825        308.38478100908037       315.81162551858347       315.811625518581         323.01462923698494       323.0146292369822        329.83710816254194       329.8371081625388        336.34811411731727       336.34811411731374       342.6061307429464        342.6061307429424        348.4754288648332        348.475428864829         354.28956359722457       354.28956359722014       359.8080547326467        359.80805473264206       365.1334147900723        365.1334147900675        370.20091772739806       370.200917727393         375.01901327896064       375.0190132789554        379.59680569965747       379.596805699652         383.93500276052447       383.93500276051867       388.0339407086915        388.0339407086854        391.9196547249317        391.91965472492546       395.58119648917585       395.58119648916966       399.03888270847074       399.03888270846454       402.30105112124494       402.3010511212387        405.3669563450908        405.36695634508436       408.26557836530156       408.26557836529497
0.36000000000000315       0.5                      273.1504647150385        273.1504647150385        283.0741465885577        283.07414658855697       292.38074335410334       292.3807433541022        301.0940736131841        301.0940736131824        309.3973637457394        309.3973637457371        317.064444853845         317.0644448538423        324.5055887702116        324.50558877020865       331.5599834130683        331.55998341306497       338.297810128071         338.2978101280673        344.7765394642345        344.7765394642304        350.85716526865707       350.85716526865275       356.8810108623263        356.8810108623218        362.6005476399983        362.60054763999347       368.1212927297059        368.12129272970077       373.3753698825442        373.37536988253885       378.37164008015833       378.3716400801529        383.11910067526486       383.1191006752594        387.61770434542973       387.617704345424         391.86822602464576       391.8682260246395        395.896791193727         395.8967911937206        399.69241355961066       399.69241355960423       403.27601196797724       403.27601196797076       406.6561712678925        406.65617126788595       409.8322026126965        409.83220261268974       412.8342718659717        412.8342718659648
0.38000000000000317       0.5                      273.1504752034087        273.1504752034087        283.3018626192351        283.3018626192344        292.8296624750084        292.829662475007         301.7604345220053        301.7604345220034        310.2803018407843        310.28030184078176       318.1617747719014        318.1617747718985        325.8164592331978        325.8164592331945        333.0798979820355        333.0798979820318        340.02308830907026       340.02308830906617       346.70196701781026       346.7019670178058        352.97473050765177       352.97473050764717       359.18926224709264       359.18926224708775       365.09170576454943       365.0917057645443        370.790275647131         370.79027564712555       376.2140486062705        376.214048606265         381.37228340285003       381.3722834028444        386.2738351877676        386.2738351877619        390.91787057503683       390.9178705750307        395.30561982503883       395.3056198250319        399.46325513479803       399.463255134791         403.3797705661405        403.3797705661336        407.076672427569         407.0766724275621        410.5627866560059        410.56278665599893       413.8374808002974        413.8374808002903        416.93208284623626       416.932082846229
